Data;BTC/USD;ETH/USD
2012-03-01;4,95;0
2012-04-01;4,925;0
2012-05-01;5,05;0
2012-06-01;5,975;0
2012-07-01;7,95;0
2012-08-01;10,325;0
2012-09-01;11,25;0
2012-10-01;11,675;0
2012-11-01;11,575;0
2012-12-01;13,075;0
2013-01-01;16,85;0
2013-02-01;26,725;0
2013-03-01;63,7;0
2013-04-01;135,4;0
2013-05-01;119,2;0
2013-06-01;112,7;0
2013-07-01;86,675;0
2013-08-01;112,175;0
2013-09-01;124;0
2013-10-01;156,025;0
2013-11-01;658,45;0
2013-12-01;833,625;0
2014-01-01;805,25;0
2014-02-01;651,625;0
2014-03-01;535,6;0
2014-04-01;439,1;0
2014-05-01;535,45;0
2014-06-01;629,3;0
2014-07-01;610,25;0
2014-08-01;589,25;0
2014-09-01;434,025;0
2014-10-01;353,725;0
2014-11-01;370,1;0
2014-12-01;345,1;0
2015-01-01;254,325;0
2015-02-01;240,8;0
2015-03-01;247,7;0
2015-04-01;233,7;0
2015-05-01;233,725;0
2015-06-01;245,075;0
2015-07-01;278,875;0
2015-08-01;243,475;0
2015-09-01;235,025;0
2015-10-01;281,175;0
2015-11-01;374,275;0
2015-12-01;406,775;0
2016-01-01;403,175;0
2016-02-01;404,8;0
2016-03-01;421,925;0
2016-04-01;436,65;9,77
2016-05-01;494,325;11,4975
2016-06-01;631,45;14,5975
2016-07-01;653,875;12,215
2016-08-01;604,1;11,465
2016-09-01;598,525;12,905
2016-10-01;661,55;11,8025
2016-11-01;710,475;9,6475
2016-12-01;856,85;7,8275
2017-01-01;959,375;9,6525
2017-02-01;1078,475;13,3025
2017-03-01;1122,65;35,0475
2017-04-01;1259,1;64,57
2017-05-01;1936,95;149,6
2017-06-01;2415,625;275,5425
2017-07-01;2508,075;224,615
2017-08-01;3734,55;294,7525
2017-09-01;4258,825;320,9425
2017-10-01;5357,975;308,9075
2017-11-01;8302,6;382,0275
2017-12-01;13242,025;605,495
2018-01-01;12640,275;998,9975
2018-02-01;9592,25;924,1275
2018-03-01;8867,575;623,0125
2018-04-01;8089,825;533,85
2018-05-01;8441,275;648,4925
2018-06-01;6854,425;516,0425
2018-07-01;7232,3;454,5325
2018-08-01;7098,025;349,7725
2018-09-01;6791;246,435
2018-10-01;6730,375;213,9975
2018-11-01;5170,8;159,95
2018-12-01;3869,325;120,395
2019-01-01;3743,85;124,9975
2019-02-01;3776,5;127,57
2019-03-01;4009,75;142,2325
2019-04-01;4885,4;157,3425
2019-05-01;7204,6;219,1675
2019-06-01;10125,475;288,01
2019-07-01;10787,25;255,0775
2019-08-01;10346,825;183,0825
2019-09-01;9160,25;182,1225
2019-10-01;8830,575;178,255
2019-11-01;8256,675;165,055
2019-12-01;7293,825;137,6525
2020-01-01;8258,725;155,4825
2020-02-01;9218,2;216,3025
2020-03-01;7055,325;172,605
2020-04-01;7670,775;173,77
2020-05-01;9058,825;215,505
2020-06-01;9462,5;231,9375
2020-07-01;10207,2;286,2475
2020-08-01;11617;390,25
2020-09-01;11116,525;398,9125
2020-10-01;12254,25;375,0375
2020-11-01;16649,5;498,735
2020-12-01;23881,25;660,1775
2021-01-01;33155,5;1059,6075
2021-02-01;42318,5;1511,0825
2021-03-01;52716;1673,4625
2021-04-01;57304,2;2346,6475
2021-05-01;46754,25;2896,6875
2021-06-01;37718,25;2729,555
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
