Data;BTC USD;ETH USD;LTC USD;ADA USD;XRP USD;EOS USD
2021-06-07;35069;2685;170;1,63339;0,9077;5,53705
2021-06-06;35758;2670;175;1,671207;0,93331;5,810375
2021-06-05;36270;2671;176;1,69009475;0,94641;5,929225
2021-06-04;37740;2760;184;1,75318325;0,99461;6,250375
2021-06-03;38350;2781;190;1,80073825;1,03844;6,4263
2021-06-02;37106;2670;185;1,7524925;1,01603;6,34205
2021-06-01;36894;2659;185;1,727503;1,03157;6,41315
2021-05-31;36159;2539;178;1,64816175;0,97024;6,2816
2021-05-30;35018;2344;168;1,50409675;0,86633;5,9696
2021-05-29;35285;2345;172;1,45211525;0,86571;6,1745
2021-05-28;36956;2560;184;1,57129925;0,92504;6,5455
2021-05-27;38795;2812;195;1,704242;0,99409;6,734075
2021-05-26;39055;2794;192;1,6774915;1,00534;6,0654
2021-05-25;38353;2658;182;1,54637775;0,97483;5,575925
2021-05-24;36949;2373;163;1,43107425;0,88379;4,951175
2021-05-23;35392;2181;152;1,34196625;0,82828;4,644825
2021-05-22;37208;2372;174;1,4942905;0,93606;5,3221
2021-05-21;38402;2622;192;1,6354195;1,06718;6,077625
2021-05-20;38715;2606;197;1,63671025;1,1044;6,20835
2021-05-19;38349;2917;232;1,63178925;1,29263;7,513
2021-05-18;43625;3364;293;2,039021;1,56512;9,26085
2021-05-17;44678;3417;284;2,14476525;1,4583;9,5844
2021-05-16;46710;3659;300;2,2373085;1,47328;10,281425
2021-05-15;48460;3859;314;2,13040525;1,44818;10,749025
2021-05-14;49969;3905;323;1,94655475;1,38269;10,91205
2021-05-13;49193;3794;314;1,74177875;1,30614;10,500875
2021-05-12;53301;4042;344;1,674987;1,38326;12,5336
2021-05-11;55991;4051;365;1,6955315;1,42862;11,823075
2021-05-10;56826;3982;374;1,6907025;1,44714;9,91975
2021-05-09;58180;3923;364;1,699071;1,53454;10,2482
2021-05-08;58153;3693;346;1,6224145;1,57774;10,309
2021-05-07;56922;3469;351;1,64363775;1,59629;11,04445
2021-05-06;56876;3499;348;1,56368675;1,63052;10,192325
2021-05-05;55781;3396;335;1,38778475;1,50743;7,57195
2021-05-04;55464;3338;299;1,28783675;1,46581;6,672425
2021-05-03;57316;3190;283;1,347556;1,56478;6,66825
2021-05-02;57097;2940;272;1,3319495;1,59936;6,54465
2021-05-01;57751;2858;273;1,347091;1,61074;6,5182
2021-04-30;55574;2759;263;1,3291255;1,50162;6,17365
2021-04-29;53993;2744;256;1,33058;1,37532;5,8819
2021-04-28;55043;2705;258;1,306971;1,37352;5,9977
2021-04-27;54455;2598;254;1,27541025;1,38979;5,9482
2021-04-26;51530;2426;235;1,1640985;1,1969;5,43065
2021-04-25;49171;2267;224;1,08975725;1,04712;5,08525
2021-04-24;50297;2290;232;1,1377255;1,10365;5,33705
2021-04-23;50653;2365;240;1,10321825;1,10462;5,553975
2021-04-22;52888;2425;260;1,186905;1,24285;6,189675
2021-04-21;55180;2355;261;1,23929375;1,35547;6,528175
2021-04-20;55651;2240;257;1,218599;1,33096;6,5657
2021-04-19;55911;2196;267;1,24204925;1,37616;6,95725
2021-04-18;57108;2252;278;1,277013;1,41803;7,313
2021-04-17;60895;2369;311;1,39931425;1,59004;8,154125
2021-04-16;62034;2468;294;1,43589725;1,63765;8,11205
2021-04-15;62998;2474;280;1,458643;1,78401;7,74315
2021-04-14;63167;2366;271;1,4438395;1,79151;7,5403
2021-04-13;61726;2218;257;1,3619115;1,64305;6,944075
2021-04-12;60169;2141;249;1,29786625;1,40353;6,5968
2021-04-11;59917;2135;254;1,2426855;1,38193;6,7075
2021-04-10;59251;2105;238;1,216441;1,19895;6,4121
2021-04-09;58193;2074;224;1,210513;1,03631;6,3412
2021-04-08;56971;2020;223;1,1964825;0,98765;6,16235
2021-04-07;57016;2037;227;1,2187985;0,99223;6,2875
2021-04-06;58514;2101;229;1,248074;0,98295;6,6725
2021-04-05;58311;2077;212;1,1953175;0,77583;6,4445
2021-04-04;57549;2041;199;1,172845;0,60455;5,8475
2021-04-03;58178;2071;205;1,18856825;0,60043;5,86325
2021-04-02;59074;2051;207;1,199537;0,58802;5,90025
2021-04-01;58732;1941;199;1,18870375;0,57065;5,183
2021-03-31;58581;1873;195;1,19337175;0,55968;4,5365
2021-03-30;58207;1824;195;1,20992675;0,56806;4,3115
2021-03-29;56681;1752;189;1,200155;0,55617;4,19625
2021-03-28;55709;1700;184;1,188171;0,54842;4,1195
2021-03-27;55360;1701;183;1,19650225;0,555;4,1295
2021-03-26;53182;1643;178;1,17297425;0,53989;3,9265
2021-03-25;51817;1593;174;1,08994525;0,49379;3,69375
2021-03-24;53882;1627;183;1,0972225;0,51222;3,92925
2021-03-23;54344;1679;186;1,118543;0,55709;4,11825
2021-03-22;55925;1733;191;1,14431575;0,54065;4,1525
2021-03-21;57412;1790;197;1,19728575;0,52083;4,2415
2021-03-20;58481;1812;201;1,251166;0,50135;4,2675
2021-03-19;57872;1793;200;1,263153;0,46755;4,15175
2021-03-18;58439;1802;203;1,32636625;0,47374;4,12525
2021-03-17;57248;1804;202;1,3148485;0,4666;4,03475
2021-03-16;55685;1783;200;1,13620775;0,46083;3,9295
2021-03-15;57641;1818;209;1,0393905;0,43658;3,886
2021-03-14;60273;1886;221;1,07835625;0,44945;4,1115
2021-03-13;59094;1844;223;1,07738175;0,44872;4,02425
2021-03-12;57065;1792;211;1,07829875;0,44505;3,8625
2021-03-11;56534;1808;199;1,1263595;0,45457;3,94875
2021-03-10;55284;1827;201;1,163771;0,47265;4,0795
2021-03-09;53513;1847;197;1,16166;0,47934;4,032
2021-03-08;51256;1773;189;1,1336505;0,47045;3,8485
2021-03-07;50052;1689;187;1,12816275;0,46356;3,7765
2021-03-06;48495;1589;181;1,1388835;0,45951;3,7135
2021-03-05;48239;1517;178;1,12606375;0,46634;3,69825
2021-03-04;49524;1554;185;1,15631375;0,46484;3,80275
2021-03-03;49886;1537;185;1,22835375;0,44572;3,787
2021-03-02;48828;1522;178;1,250549;0,4396;3,67775
2021-03-01;47385;1494;170;1,296301;0,43151;3,591
2021-02-28;45246;1422;166;1,285342;0,42059;3,5485
2021-02-27;46466;1459;172;1,3181985;0,43733;3,64475
2021-02-26;46484;1463;174;1,1511865;0,43177;3,62575
2021-02-25;48853;1551;185;1,0774865;0,45289;3,8195
2021-02-24;49238;1616;179;0,9966705;0,4741;3,92475
2021-02-23;50559;1660;188;1,003298;0,49463;4,2185
2021-02-22;54346;1856;210;1,0450185;0,56804;4,884
2021-02-21;56795;1930;227;1,110046;0,5296;4,993
2021-02-20;55873;1950;231;1,038356;0,53329;5,0625
2021-02-19;53638;1941;231;0,91642775;0,54728;5,005
2021-02-18;51786;1894;231;0,91344725;0,53647;4,8565
2021-02-17;50709;1811;222;0,8707565;0,52587;4,69475
2021-02-16;48666;1783;210;0,8675255;0,53353;4,7055
2021-02-15;47818;1792;207;0,82603875;0,56424;4,83675
2021-02-14;48141;1814;220;0,87092575;0,60729;5,30675
2021-02-13;47227;1828;211;0,902767;0,60793;5,1545
2021-02-12;47628;1807;189;0,91739375;0,56892;4,62975
2021-02-11;46372;1765;184;0,92890075;0,51736;4,34625
2021-02-10;45610;1763;182;0,82538625;0,4936;4,15625
2021-02-09;46538;1759;174;0,6903755;0,46663;3,87525
2021-02-08;42476;1681;159;0,67416775;0,4372;3,502
2021-02-07;38789;1636;152;0,6472225;0,42734;3,30925
2021-02-06;39193;1694;156;0,58982375;0,44434;3,25575
2021-02-05;37554;1661;150;0,4937315;0,44836;3,1705
2021-02-04;37430;1629;150;0,43545875;0,42548;3,04325
2021-02-03;36546;1587;149;0,432869;0,38971;3,0415
2021-02-02;34609;1442;138;0,419617;0,37399;3,0225
2021-02-01;33408;1343;131;0,37744375;0,49541;3,01625
2021-01-31;33482;1344;131;0,355856;0,45901;2,933
2021-01-30;34103;1371;133;0,355961;0,37836;2,842
2021-01-29;34546;1361;136;0,3475655;0,28099;2,74575
2021-01-28;31872;1283;128;0,328862;0,25804;2,6075
2021-01-27;31185;1303;128;0,326013;0,25804;2,563
2021-01-26;32128;1343;135;0,34048425;0,26623;2,62425
2021-01-25;32830;1359;141;0,3501935;0,27294;2,687
